county,tract,code,czname,rent_twobed2015,med_hhinc2016,frac_coll_plus2010,poor_share2010,share_black2010,share_hisp2010,share_asian2010,share_white2000,singleparent_share2010,2019,2020
1,770100,CT-1770100,Brainerd,775,47474,0.14389233,0.092381783,0.002578427,0.006875806,0.001289214,0.97459775,0.185,1,0
1,770200,CT-1770200,Brainerd,611,44828,0.099574983,0.17677419,0.010702055,0.011130137,0.000856164,0.96810931,0.41390729,1,1
1,770300,CT-1770300,Brainerd,,39438,0.1804987,0.18831348,0.010097919,0.014075887,0.002141983,0.96910942,0.4522059,10,0
1,770400,CT-1770400,Brainerd,630,37688,0.12729844,0.16858095,0.00491481,0.011795544,0.00163827,0.91188729,0.39170507,0,0
1,790501,CT-1790501,Brainerd,625,40859,0.095207669,0.11676647,0.005109862,0.007153807,0.000510986,0.97406101,0.24257426,0,0
1,790502,CT-1790502,Brainerd,713,54542,0.1774506,0.060511541,0.003985285,0.003985285,0.002452483,0.97406101,0.35424355,2,1
3,50107,CT-3050107,Minneapolis,687,76815,0.082253523,0.17068063,0.007157464,0.00852079,0.004430811,0.9607929,0.23844282,2,1
3,50108,CT-3050108,Minneapolis,832,66724,0.15537709,0.081915133,0.015368421,0.018736843,0.002947368,0.94910294,0.2754491,5,1
3,50109,CT-3050109,Minneapolis,,91148,0.11712846,0.033007335,0.007497117,0.009803922,0.006257988,0.96628052,0.18513323,6,1
3,50110,CT-3050110,Minneapolis,,84271,0.12141281,0.14251456,0.007366483,0.011418048,0.003659478,0.97120708,0.34328359,3,0
3,50111,CT-3050111,Minneapolis,,95893,0.21439689,0.049667995,0.008897277,0.010514963,0.004764822,0.97351384,0.13333334,1,0
3,50114,CT-3050114,Minneapolis,1150,95875,0.17201327,0.029717149,0.007848733,0.007135212,0.002397431,0.96446884,0.086956523,0,1
3,50115,CT-3050115,Minneapolis,,82224,0.17511933,0.047262702,0.008607498,0.014154552,0.005164499,0.97130191,0.11982249,2,1
3,50116,CT-3050116,Minneapolis,,83576,0.23538175,0.052789997,0.011703804,0.010353365,0.00360117,0.98084402,0.15544042,1,1
3,50208,CT-3050208,Minneapolis,,95500,0.34999999,0.018551236,0.0225541,0.030783297,0.012450472,0.95155919,0.19252336,2,0
3,50210,CT-3050210,Minneapolis,,77727,0.24556321,0.091094665,0.009708738,0.016351558,0.004343383,0.971443,0.22166246,5,2
3,50215,CT-3050215,Minneapolis,,100439,0.34621271,0.00638896,0.005248092,0.022185115,0.011846342,0.96029496,0.13882864,1,1
3,50216,CT-3050216,Minneapolis,,115100,0.35716507,0.004942966,0.011143588,0.019546948,0.007382953,0.95897025,0.16129032,1,0
3,50217,CT-3050217,Minneapolis,,103911,0.2638635,0.014913958,0.016152717,0.016519824,0.010605318,0.96384132,0.05882353,0,0
3,50218,CT-3050218,Minneapolis,,94042,0.23907584,0.039334826,0.010869565,0.017080745,0.0066154,0.96619272,0.093676813,1,0
3,50219,CT-3050219,Minneapolis,1107,90917,0.28550655,0.008530806,0.018948056,0.023848416,0.012366201,0.95664036,0.16089109,2,0
3,50220,CT-3050220,Minneapolis,1761,90099,0.30444846,0.081788443,0.025252525,0.018977655,0.008436008,0.95595491,0.15766263,6,1
3,50221,CT-3050221,Minneapolis,,101797,0.32135895,0.006126842,0.025923017,0.01759623,0.014045342,0.96393353,0.1381781,2,0
3,50222,CT-3050222,Minneapolis,,109004,0.35396519,0.018867925,0.022621917,0.020211386,0.01536238,0.95422888,0.20560747,2,1
3,50223,CT-3050223,Minneapolis,,100893,0.25498009,0.01909587,0.005985784,0.012345679,0.004489338,0.96846306,0.19946092,0,0
